encoding,scaling,distance,check,alltraining,runs,tbs,detection_rate,mean_FPR,mean_latency
exclude,minmax,euclidean,no,no,10,7,0.0,0.0,1.0
exclude,minmax,euclidean,no,with,10,7,0.0,0.0,1.0
exclude,minmax,euclidean,with,no,10,7,0.9,0.0,0.55
exclude,minmax,euclidean,with,with,10,7,0.0,0.0,1.0
exclude,minmax,manhattan,no,no,10,7,1.0,0.5,0.5
exclude,minmax,manhattan,no,with,10,7,0.0,0.0,1.0
exclude,minmax,manhattan,with,no,25,7,1.0,0.98,0.26
exclude,minmax,manhattan,with,with,10,7,0.0,0.0,1.0
onehot,minmax,euclidean,no,no,42,7,0.88,0.0,0.12
onehot,minmax,euclidean,no,with,10,7,0.0,0.0,1.0
onehot,minmax,euclidean,with,no,42,7,0.88,0.0,0.12
onehot,minmax,euclidean,with,with,10,7,0.0,0.0,1.0
onehot,minmax,manhattan,no,no,10,7,0.0,0.0,1.0
onehot,minmax,manhattan,no,with,10,7,0.0,0.0,1.0
onehot,minmax,manhattan,with,no,10,7,0.0,0.0,1.0
onehot,minmax,manhattan,with,with,10,7,0.0,0.0,1.0
target,minmax,euclidean,no,no,10,7,1.0,0.0,0.5
target,minmax,euclidean,no,with,10,7,0.0,0.0,1.0
target,minmax,euclidean,with,no,10,7,1.0,0.0,0.0
target,minmax,euclidean,with,with,10,7,0.0,0.0,1.0
target,minmax,manhattan,no,no,10,7,0.0,0.45,1.0
target,minmax,manhattan,no,with,10,7,0.0,0.0,1.0
target,minmax,manhattan,with,no,34,7,0.21,0.46,0.86
target,minmax,manhattan,with,with,10,7,0.0,0.0,1.0
